NAME1,RA1,DEC1,Z1,NAME2,RA2,DEC2,Z2
J114107.56-024910.9,175.28149,-2.8196870,0.028737000,J173752.68+540339.5,264.46950,54.060977,0.029605700
J114107.56-024910.9,175.28149,-2.8196870,0.028737000,J164858.61+400041.4,252.24422,40.011490,0.032272300
J114107.56-024910.9,175.28149,-2.8196870,0.028737000,J155130.28+490728.1,237.87618,49.124467,0.034642400
J114107.56-024910.9,175.28149,-2.8196870,0.028737000,J144725.16+032627.9,221.85484,3.4410909,0.027416900
J173809.30+584253.7,264.53876,58.714904,0.028761000,J112221.15+462549.8,170.58813,46.430510,0.032317800
J173809.30+584253.7,264.53876,58.714904,0.028761000,J170408.72+312902.3,256.03635,31.483965,0.033050900
J173809.30+584253.7,264.53876,58.714904,0.028761000,J095145.09+031620.5,147.93789,3.2723698,0.034531700
J173809.30+584253.7,264.53876,58.714904,0.028761000,J090015.62+401748.4,135.06507,40.296765,0.028933600
J173809.30+584253.7,264.53876,58.714904,0.028761000,J112320.25+055107.3,170.83436,5.8520147,0.037469900
J111349.74+093510.7,168.45725,9.5862920,0.028969000,J003735.81+001650.5,9.3992204,0.28068526,0.034930900
J111349.74+093510.7,168.45725,9.5862920,0.028969000,J220316.00+003415.9,330.81665,0.57108500,0.030142200
J111349.74+093510.7,168.45725,9.5862920,0.028969000,J120908.81+440011.5,182.28671,44.003199,0.037580100
J111349.74+093510.7,168.45725,9.5862920,0.028969000,J104000.58+390720.0,160.00240,39.122224,0.030804700
J111349.74+093510.7,168.45725,9.5862920,0.028969000,J152041.34+490623.6,230.17224,49.106545,0.038404200
J142704.55+355409.6,216.76896,35.902656,0.029031000,J153908.88+322425.4,234.78701,32.407063,0.031346800
J142704.55+355409.6,216.76896,35.902656,0.029031000,J085814.87+353901.1,134.56194,35.650295,0.032159500
J142704.55+355409.6,216.76896,35.902656,0.029031000,J104248.63+110000.9,160.70263,11.000242,0.029508400
J142704.55+355409.6,216.76896,35.902656,0.029031000,J160534.65+323940.9,241.39436,32.661363,0.029660600
J142704.55+355409.6,216.76896,35.902656,0.029031000,J085015.01+534032.0,132.56254,53.675552,0.035956600
J130615.17+585733.2,196.56320,58.959224,0.029208000,J082253.84+055615.5,125.72434,5.9376445,0.030666800
J130615.17+585733.2,196.56320,58.959224,0.029208000,J110338.36-005208.4,165.90984,-0.86900692,0.028608800
J130615.17+585733.2,196.56320,58.959224,0.029208000,J143838.87+363354.8,219.66197,36.565219,0.031936900
J130615.17+585733.2,196.56320,58.959224,0.029208000,J092206.32+524209.7,140.52635,52.702702,0.035954000
J130615.17+585733.2,196.56320,58.959224,0.029208000,J034330.26-073507.4,55.876083,-7.5853758,0.035782100
J112408.65-010927.9,171.03603,-1.1577620,0.029288000,J080359.20+234520.5,120.99667,23.755681,0.029396900
J112408.65-010927.9,171.03603,-1.1577620,0.029288000,J120914.11+470330.1,182.30879,47.058364,0.024219900
J112408.65-010927.9,171.03603,-1.1577620,0.029288000,J131915.90+543606.3,199.81623,54.601739,0.032297200
J112408.65-010927.9,171.03603,-1.1577620,0.029288000,J215226.04-081025.0,328.10848,-8.1736090,0.034579100
J112408.65-010927.9,171.03603,-1.1577620,0.029288000,J172837.52+570842.2,262.15633,57.145065,0.027539400
J131305.81+012755.9,198.27420,1.4655410,0.029361000,J153908.88+322425.4,234.78701,32.407063,0.031346800
J131305.81+012755.9,198.27420,1.4655410,0.029361000,J085814.87+353901.1,134.56194,35.650295,0.032159500
J131305.81+012755.9,198.27420,1.4655410,0.029361000,J160205.51+523316.9,240.52295,52.554696,0.038155600
